STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement_Flag,Quality_Flag
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 07:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 08:00,0.05, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 09:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 10:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 11:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 12:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 13:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 14:00,0.05, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 15:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 16:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 18:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 19:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 20:00,0.03, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 21:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 01:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 02:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 03:00,0.08, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 04:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 06:00,0.05, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 07:00,0.28, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 08:00,0.06, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 09:00,0.39, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 10:00,0.28, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 11:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 14:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110908 15:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110914 17:00,0.07, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110914 18:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110914 19:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110915 14:00,0.03, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110915 15:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110915 16:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110915 18:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110915 19:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110915 20:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110915 21:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110915 22:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110915 23:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110920 10:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110920 11:00,0.05, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110920 12:00,0.04, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110920 13:00,0.03, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110920 14:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110920 15:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110922 05:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110922 06:00,0.01, , 
